Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
FixedBase,6.91504582319181E-09,0.00866199894864742,0.0342031308697217,0,0,0,0.495743106976943,0.00113436221911029,-1.43617638907444E-10,-8.73991869808274E-11,0.00110788818800462,3.73236938925135E-05,0.00165468506904116,0,0,0,0,0,0,package://simple_robot_v1/meshes/FixedBase.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_robot_v1/meshes/FixedBase.STL,,Simple Base Assembly-1,FixedBaseCoord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RotatingBaseLink,1.39519863637759E-09,1.06147575283678E-08,0.0504395809392708,0,0,0,0.249050674935691,0.000206795273858127,-6.13548289523484E-07,4.03627209215138E-11,0.000301950307154041,-2.72993180638447E-11,0.000196032160600871,0,0,0,0,0,0,package://simple_robot_v1/meshes/RotatingBaseLink.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://simple_robot_v1/meshes/RotatingBaseLink.STL,,Rotating Base-1,RotatingBaseCoord,BaseRotationAxis,RotatingBaseJoint,revolute,0,0,0.0500000000000001,0,0,0,FixedBase,0,0,-1,0,0,0,0,,,,,,,,
ShoulderLink,0.132307785393488,-1.51178238853975E-06,0.000346804396159619,0,0,0,0.127005030031998,0.000106668954279911,-1.16821596176043E-08,-3.31487396266421E-06,0.000763082450922113,-8.70603053470386E-09,0.000675378390713357,0,0,0,0,0,0,package://simple_robot_v1/meshes/ShoulderLink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_robot_v1/meshes/ShoulderLink.STL,,Shoulder Link Simple-1,ShoulderCoord,ShoulderRotationAxis,ShoulderJoint,revolute,0,0,0.0490000177849215,3.13514510942963,-1.5707963267949,0,RotatingBaseLink,0,0,1,0,0,0,0,,,,,,,,
ElbowLink,0.0558340165447233,-0.000366974477921289,-0.000410095262349288,0,0,0,0.0832060002530787,2.56416686803113E-05,1.77883242024121E-06,2.08813583713939E-06,9.15870133898707E-05,2.79406974978131E-07,8.58747392837518E-05,0,0,0,0,0,0,package://simple_robot_v1/meshes/ElbowLink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_robot_v1/meshes/ElbowLink.STL,,Elbow Link Simple-1,ElbowCoord,ElbowRotationAxis,ElbowJoint,revolute,0.224699982215072,0,0.00103999573236514,0,0,0,ShoulderLink,0,0,1,0,0,0,0,,,,,,,,
WristLink,-0.0101844467544043,-0.000735404968164891,0.0349414277735269,0,0,0,0.0537569973721629,1.89747919928383E-05,3.47727665152842E-08,4.76770738484285E-06,2.58167962543783E-05,2.31424113886313E-07,1.78121528975362E-05,0,0,0,0,0,0,package://simple_robot_v1/meshes/WristLink.STL,0.909803921568627,0.443137254901961,0.0313725490196078,1,0,0,0,0,0,0,package://simple_robot_v1/meshes/WristLink.STL,,Wrist Link Simple-1,WristCoord,WristRotationAxis,WristJoint,revolute,0.0934999999999996,-0.00107999999999985,-0.00100000000000004,1.5707963267949,0,0,ElbowLink,0,0,-1,0,0,0,0,,,,,,,,
PenLink,0.0488069330414606,-0.0375128977560554,0.00214563125202002,0,0,0,0.0813573458074455,2.82226500412145E-05,3.70404255428573E-06,2.89143815652995E-06,0.000246311640646947,5.64768905060801E-07,0.000243271811574027,0,0,0,0,0,0,package://simple_robot_v1/meshes/PenLink.STL,0.501960784313725,1,0.501960784313725,1,0,0,0,0,0,0,package://simple_robot_v1/meshes/PenLink.STL,,Pen Link Simple-1,PenLinkCoord,PenLinkRotationAxis,PenJoint,continuous,0,-0.00100000000000028,0.0409999999999995,-1.5707963267949,0,0,WristLink,0,0,-1,,,,,,,,,,,,
PenTipLink,-1.29363503611514E-08,1.46290260738535E-08,-0.00951562294778097,0,0,0,0.00038081589701468,6.06797657346136E-09,2.38790350862128E-14,-1.96377987783302E-14,6.06792667257784E-09,2.22033388921798E-14,1.89233276313322E-09,0,0,0,0,0,0,package://simple_robot_v1/meshes/PenTipLink.STL,0.501960784313725,1,0.501960784313725,1,0,0,0,0,0,0,package://simple_robot_v1/meshes/PenTipLink.STL,,PenTip-1,PenTipCoord,Axis_PenTipJoint,PenTipJoint,continuous,0.174034907432749,-0.037499999995722,0.000980000006022251,-1.57079632679492,1.56434878263475,-1.57079632679492,PenLink,-0.452442845748437,0.630713380195033,-0.630472920412932,,,,,,,,,,,,
